,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
26,"OBAMA, JULY 3, 2008"," The way Bush has done it over the last eight years is to take out a credit card from the bank of China in the name of our children, driving up our national debt. That's irresponsible! It's unpatriotic.",1,202.0,39.0,guest,21.0,1,Fox News,Hannity,2017-01-18
27,"OBAMA, OCT. 26, 2008"," At this rate, the question isn't just are you better off than you were four years ago. The question is are you better off than you were four weeks ago? For eight years, we've seen the Bush-McCain philosophy put our country on the wrong track. We can't have another four years that looks just like the last eight.",1,313.0,59.0,guest,22.0,1,Fox News,Hannity,2017-01-18
28,,(END VIDEO CLIPS),1,,,,,1,Fox News,Hannity,2017-01-18
29,HANNITY, And he kept blaming President Bush the entire time he's been in office. Look at this.,1,86.0,17.0,host,23.0,0,Fox News,Hannity,2017-01-18
30,,(BEGIN VIDEO CLIPS),1,,,,,0,Fox News,Hannity,2017-01-18
31,"OBAMA, AUG. 3, 2011"," We were inheriting so many challenges. We knew this was going to take time because we got this big, messy, tough democracy.",1,124.0,23.0,guest,24.0,1,Fox News,Hannity,2017-01-18
32,"OBAMA, FEB. 1, 2010"," The previous administration and previous Congresses created an expensive new drug program, passed massive tax cuts for the wealthy and funded two wars without paying for any of it. If we had taken office during ordinary times, we would have started bringing down these deficits immediately.",1,291.0,47.0,guest,25.0,1,Fox News,Hannity,2017-01-18
33,"OBAMA, MARCH 4, 2009"," These are far from the best of times. By any measure, my administration inherited a fiscal disaster.",1,101.0,18.0,guest,26.0,1,Fox News,Hannity,2017-01-18
34,,(END VIDEO CLIPS),1,,,,,1,Fox News,Hannity,2017-01-18
35,HANNITY," He's still blaming Bush. By the way, now let's talk about President Obama's treatment of President-elect Donald Trump. He spent the entire year of 2016 trashing the Republican nominee. Watch this.",1,197.0,32.0,host,27.0,0,Fox News,Hannity,2017-01-18
36,,(BEGIN VIDEO CLIPS),1,,,,,0,Fox News,Hannity,2017-01-18
37,"OBAMA, NOV. 7, 2016"," Donald Trump is temperamentally unfit to be commander-in-chief.   You know, it's bad enough being arrogant, it's bad being arrogant and not knowing anything.",1,158.0,25.0,guest,28.0,1,Fox News,Hannity,2017-01-18
38,"OBAMA, NOV. 6, 2016"," If you disrespect women before you became president, you'll do so once you're president. If you accept the support of Klan sympathizers before you're president, then you'll accept their support after you're president.",1,218.0,34.0,guest,29.0,1,Fox News,Hannity,2017-01-18
39,"OBAMA, NOV. 4, 2016"," I can honestly say to myself that if we, as Democrats, had nominated somebody who said the things Mr. Trump said, then I'd have to say, I'm sorry, yes, I'm a Democrat, but I'm an American first.",1,195.0,38.0,guest,30.0,1,Fox News,Hannity,2017-01-18
40,,(END VIDEO CLIPS),1,,,,,1,Fox News,Hannity,2017-01-18
41,HANNITY," Now, President Obama savagely attacked President-elect Donald Trump because he knew if a Republican won, his legacy would be nonexistent!  And President Obama refused to compromise even a little bit on his leftist ideology. He refused to work with the Republicans in Congress, and instead he relied mostly on executive orders and actions and discretion to unilaterally dictate federal law. And now that Donald Trump won, President Obama is realizing his legacy could all be gone by the stroke of a pen as soon as Donald Trump takes office. Now, take a look at the major Obama executive branch policies that Trump can overturn. For example, on immigration, Trump can easily undo Obama's deferred action for childhood arrivals executive order, which basically granted amnesty to over one million illegal immigrant, quote, ""Dreamers.""   Now, Trump can put an end to catch and release, that policy that lets criminal illegal aliens roam free in our country, or sanctuary cities.  Now, President Trump can push back on states and cities that refuse to cooperate and enforce federal law. On refugees, President Trump can stop thousands of people from countries with ties to terror from ever entering the country. The Iranian nuclear deal? Remember, he didn't go to the Senate. The Trump administration can take steps to get out of that agreement with the number one state sponsor of terrorism. And climate change regulations like the EPA's Clean Power Plan and the Paris climate agreement can easily go bye-bye. Well, then you go over to Congress and then you throw in repealing, replacing ObamaCare and getting rid of Dodd-Frank and financial regulations. Now, think about this. After that, the only thing that is going to be left is President Obama's real legacy, which we've pointed out many times is an utter failure, on the economy, on foreign policy. And unfortunately, this part will be much harder for President-elect Trump to get rid of. Now, the other part of Obama's real failed legacy is that he refused to change. He was so stubborn! He never came close to having a Sister Souljah moment like Bill Clinton did. Remember when he said the era of big government is over, the end of welfare as we know it? You may remember this.",1,2232.0,377.0,host,31.0,0,Fox News,Hannity,2017-01-18
42,,"(BEGIN VIDEO CLIP, JAN. 23, 1996)",1,,,,,0,Fox News,Hannity,2017-01-18
43,THEN-PRESIDENT BILL CLINTON, We know big government does not have all the answers. We know there's not a program for every problem.,1,103.0,20.0,guest,32.0,1,Fox News,Hannity,2017-01-18
44,,(APPLAUSE),1,,,,,1,Fox News,Hannity,2017-01-18
45,CLINTON," We know and we have work to give the American people a smaller, less bureaucratic government in Washington. And we have to give the American people one that lives within its means.",1,181.0,33.0,guest,33.0,1,Fox News,Hannity,2017-01-18
46,,(CHEERS AND APPLAUSE),1,,,,,1,Fox News,Hannity,2017-01-18
47,CLINTON, The era of big government is over.,1,35.0,8.0,guest,34.0,1,Fox News,Hannity,2017-01-18
48,,(CHEERS AND APPLAUSE),1,,,,,1,Fox News,Hannity,2017-01-18
49,,(END VIDEO CLIP),1,,,,,1,Fox News,Hannity,2017-01-18
50,HANNITY," Bill Clinton adjusted, was pragmatic. He ended up working with Newt Gingrich. They balanced the budget. This president has never adjusted to reality. President Obama, he has been stuck in his predisposed leftist indoctrinated ideology, this indoctrination by communist Frank Marshall Davis. Mr. President, he never broke away from Saul Alinsky and the rule for radical tactics. He never got away from the Reverend Jeremiah Wright and the church of G-D America. He never separated himself from the unrepentant domestic terrorists Bill Ayers, Bernadine Dohrn. So in the end, President Obama, you accomplished pretty much nothing. And after 100 days of Donald Trump being president, it's going to be like you were never there, except for the debt you left us, doubling the debt, and of course, the judges the liberal activist judges you appointed. So let me offer President Obama, who's outgoing now, some advice. Show a little bit of class. And try and be quiet for once! You had your chance.  Learn from George W. Bush. Sadly, you didn't get the job done. That's your legacy. Here now with reaction, from the Trump organization, Michael Cohen, former White House press secretary Ari Fleischer. Ari, I really tried to get President Bush to go after Barack Obama. I tried hard. He wouldn't do it. I don't expect this will be the same example that Barack Obama will follow. Do you agree?",1,1384.0,233.0,host,35.0,0,Fox News,Hannity,2017-01-18
51,"ARI FLEISCHER, FMR. WHITE HOUSE PRESS SECRETARY"," Not even close. You know, let me give you a little insight on that. I've talked to former president Bush about this a lot myself. I remember when President Bush was in Japan, and in Japan, they have a system where the former prime ministers mostly go into the parliament. And Bush was talking to me about it and he said, How on earth can you be president when all your predecessors are in the parliament speaking out against you? He was already thinking about that when he was a sitting president. And it is good for the country. The job is a hard job and the graciousness that a former president extends to their successor and his successors -- successor makes us a strong country. Congress's job is to fight with the president. Former presidents jobs are to fade into the sunset and do so gracefully. Their day has come. They had their chance. As you pointed out, Sean, much of what President Obama has done is going to be erased because of the election. The American people spoke. And now it's time for somebody else to do it. And it's time for somebody else, frankly, to with grace...",1,1089.0,201.0,guest,36.0,0,Fox News,Hannity,2017-01-18
52,HANNITY, And it's also...,1,17.0,4.0,host,37.0,0,Fox News,Hannity,2017-01-18
53,BUSH, ... fade into the sunset.,1,26.0,6.0,guest,38.0,0,Fox News,Hannity,2017-01-18
54,HANNITY," And it's also the way he governed. He didn't want to do the hard work of working with Congress. So he ruled by executive fiat, but that can be easily overturned. Michael, what you expect from President Obama when he leaves office? I expect more of the same.",1,258.0,49.0,host,39.0,0,Fox News,Hannity,2017-01-18
55,"MICHAEL COHEN, TRUMP ORGANIZATION"," Look -- look -- look, Sean, here -- here's the thing. It doesn't really matter anymore. In two days, Donald Trump will become the 45th president. He's going to do everything that he promised during the campaign that he would do for the American people.  He's already shown what he's going to do by keeping jobs in America, putting America first and making America great again. He's just going to live up to his promises, which is really unlike, unfortunately, where we've been for the past eight years. Sad that the only thing that will ultimately be remembered under the Obama legacy is I think that bronze sculpture that was just commissioned.",1,646.0,113.0,guest,40.0,0,Fox News,Hannity,2017-01-18
56,HANNITY," I think that, and bringing back Winston -- the bust of Winston Churchill, which I hear is coming back, as well. Michael, a lot of people have asked me because they know we've been friends a long time, why isn't Michael going with the president-elect? Have you decided to take on a new role?",1,291.0,55.0,host,41.0,0,Fox News,Hannity,2017-01-18
57,COHEN," You know, I get that -- look, I get that question a lot. I'm obviously very loyal and very dedicated to Mr. Trump. I think he's going to be not just a good president, I think he's going to be a great president. He's going to be the president that ends up working with everybody, whether Republican or Democrat, including those Democrats that are choosing not to come. And the truth is, he doesn't care. As far as me, I spoke yesterday to Mr. Trump. You'll be the first one to know, Sean -- you and of course all your viewers -- I'm going to be the personal attorney to Mr. Trump. I'm not going to be in government, but I'm going to remain technically in the same role for Mr. Trump, for President Trump, as I was when he was president of the Trump Organization.",1,762.0,147.0,guest,42.0,0,Fox News,Hannity,2017-01-18
58,HANNITY," So can I assume that in that role, not being a government role, that you'd have attorney-client privilege with President Trump?",1,128.0,22.0,host,43.0,0,Fox News,Hannity,2017-01-18
59,COHEN," Yes, of course. And that relationship, hopefully, will last, you know, for -- not four years, but eight years. I think he's a wonderful man. I think he's going to be an amazing president. The family is just, you know, fantastic. They're behind him 100 percent. He's going to have Jared and Ivanka there, you know...",1,316.0,57.0,guest,44.0,0,Fox News,Hannity,2017-01-18
60,HANNITY," Well, we made some news here.",1,30.0,7.0,host,45.0,0,Fox News,Hannity,2017-01-18
61,COHEN," ... to speak to him on -- that's right, on a day-to-day basis. But I will be in D.C. and in New York. Anywhere Mr. Trump...",1,124.0,27.0,guest,46.0,0,Fox News,Hannity,2017-01-18
62,HANNITY," All right, let me ask Ari this question...",1,43.0,9.0,host,47.0,0,Fox News,Hannity,2017-01-18
63,COHEN," ... deems necessary, I'll be there.",1,36.0,7.0,guest,48.0,0,Fox News,Hannity,2017-01-18
64,HANNITY," Ari, I know you're going to disagree with me because I know you.  You know, I look at a hostile news media, and we know that they colluded with the Hillary campaign. And I know there's been talk of maybe moving them out of the White House press office, inside -- that's prime real estate there -- and moving them to another location or including talk radio hosts or bloggers, or you know, other news sources. Why do I sense that you might be against all of that?",1,463.0,89.0,host,49.0,0,Fox News,Hannity,2017-01-18
65,FLEISCHER, I have no problem with moving the press temporarily out of the briefing room into larger...,1,92.0,17.0,guest,50.0,0,Fox News,Hannity,2017-01-18
66,HANNITY, Temporarily? How about forever?,1,32.0,5.0,host,51.0,0,Fox News,Hannity,2017-01-18
67,FLEISCHER," ... quarters. For the -- well, for the briefing itself, and the reason for that is because Donald Trump's going to have so many reporters show up, they can't fit into that briefing room. There's 49 seats. Way more than that are going to show up. When it comes to the work space of the White House, Sean, if I were Donald Trump, I would think about it this way. He's got the upper hand over the press right now because the press is so unpopular. And as Gallup has shown, their poll shows popularity of the press has never been so low because the public doesn't think they're accurate or they report the news accurately or fairly. If Donald Trump physically removes them from the West Wing cubicles, the little office space they occupy, he will turn them into David instead of Goliath. He will flip the leverage that he has over the press corps right now. He will create a backlash where the public, frankly, that is against the press will switch and be in favor of the press.",1,975.0,182.0,guest,52.0,0,Fox News,Hannity,2017-01-18
68,HANNITY," Thank you both. And up next tonight right here on ""Hannity""...",1,63.0,12.0,host,53.0,0,Fox News,Hannity,2017-01-18
69,,(BEGIN VIDEO CLIP),1,,,,,0,Fox News,Hannity,2017-01-18
70,OBAMA," First of all, let's be clear. Chelsea Manning has served a tough prison sentence.",1,82.0,15.0,guest,54.0,1,Fox News,Hannity,2017-01-18
71,,(END VIDEO CLIP),1,,,,,1,Fox News,Hannity,2017-01-18
72,HANNITY," President Obama standing by his decision to commute Chelsea Manning's sentence. Up next, we'll get reaction from Dr. Sebastian Gorka. Also, Laura Ingraham is here tonight to weigh in on liberals boycotting Trump's inauguration. All of that and ""Special Report's"" Bret Baier in studio straight ahead.",1,300.0,47.0,host,55.0,0,Fox News,Hannity,2017-01-18
73,,(COMMERCIAL BREAK),1,,,,,0,Fox News,Hannity,2017-01-18
74,,(NEWSBREAK),2,,,,,0,Fox News,Hannity,2017-01-18
75,HANNITY," And welcome back to ""Hannity."" So earlier today, President Obama defended his decision to commute the sentence of former Army intelligence analyst Chelsea Manning, who was sentenced to 35 years in prison for leaking documents that WikiLeaks and others published. Watch this.",2,275.0,43.0,host,56.0,0,Fox News,Hannity,2017-01-18
76,,(BEGIN VIDEO CLIP),2,,,,,0,Fox News,Hannity,2017-01-18
77,OBAMA," Well, first of all, let's be clear. Chelsea Manning has served a tough prison sentence. So the notion that the average person who was thinking about disclosing vital classified information would think that it goes unpunished I don't think would get that impression from the sentence that Chelsea Manning has served.",2,316.0,52.0,guest,57.0,1,Fox News,Hannity,2017-01-18
78,,(END VIDEO CLIP),2,,,,,1,Fox News,Hannity,2017-01-18
79,HANNITY," So while Obama stands by his controversial decision, a senior defense official tells FOX News that defense secretary Ash Carter and some top Army leaders were against commuting Manning's sentence and told this to the president. FOX News has also learned that Manning leaked 700,000-plus documents and that his actions may have accelerated the Arab spring and may have contributed to the rise of ISIS. Now, this is so controversial that even some Democratic senators are very concerned. Take a look.",2,499.0,82.0,host,58.0,0,Fox News,Hannity,2017-01-18
80,,(BEGIN VIDEO CLIP),2,,,,,0,Fox News,Hannity,2017-01-18
81,UNIDENTIFIED MALE," We're going to give a green light to people basically with all the hacking going on and all the cyberattacks we got going on?  My goodness, you've got Snowden out there and you got Assange. You got all these people. It's just wrong.",2,233.0,44.0,guest,59.0,1,Fox News,Hannity,2017-01-18
82,UNIDENTIFIED MALE, I have serious concerns about equivocating sentence when national security is at stake.,2,88.0,14.0,guest,60.0,1,Fox News,Hannity,2017-01-18
83,,(END VIDEO CLIP),2,,,,,1,Fox News,Hannity,2017-01-18
84,HANNITY," And joining us now with reaction, the author of ""Defeating Jihad,"" Fox News contributor Dr. Sebastian Gorka is with. Dr. Gorka, 750,000 documents may have also added to the Arab spring and the rise of ISIS. I know there's been a lot said about WikiLeaks, but this is the person that stole the documents.",2,304.0,55.0,host,61.0,0,Fox News,Hannity,2017-01-18
85,"SEBASTIAN GORKA, FOX NEWS CONTRIBUTOR"," Right. Sean, this measure has rewarded a traitor. If we can demonstrate that these documents, more than a million pages, led to the deaths of people in our allied nations or our partner nations or helped to facilitate the rise of ISIS, that is absolutely reprehensible that Bradley Manning gets a commuted sentence. What is the message we are sending to the world, that actions have no consequences? And if you have a clearance, this is the thing you can do and you'll get a slap on the wrist? It is unbelievable that ideology once again has trumped national security in this White House, Sean.",2,595.0,106.0,guest,62.0,0,Fox News,Hannity,2017-01-18
86,HANNITY," You know, Obama made a U-turn by commuting his sentence. Let me go back and look at, for example, a Supreme Court decision, the issue of the Pentagon papers, and -- 47-volume top secret study, U.S. involvement in Southeast Asia commissioned by then the Department of Defense secretary Bob McNamara. And then The New York Times began publishing articles based on the Pentagon papers. Then the Supreme Court weighed in and said that the Constitution guarantees a free press and that overrides other considerations. So it's really not about the people that publish it, it's about the people that steal it and leak it, right?",2,622.0,106.0,host,63.0,0,Fox News,Hannity,2017-01-18
87,GORKA," Absolutely. Yes. Once it's in public domain, you or I can't be punished for reading it or forwarding it. It is the act of the individual like Bradley Manning, like Ed Snowden, who actually take that classified information off the secure server off the secure system...",2,269.0,47.0,guest,64.0,0,Fox News,Hannity,2017-01-18
88,HANNITY, So Daniel Ellsberg...,2,22.0,4.0,host,65.0,0,Fox News,Hannity,2017-01-18
89,GORKA, ... and then -- yes?,2,21.0,6.0,guest,66.0,0,Fox News,Hannity,2017-01-18
90,HANNITY," So Daniel Ellsberg, the guy that was responsible for giving these papers to The New York Times -- he, in fact, was convicted, indicted on charges of espionage, theft, conspiracy, correct? So does that impact...",2,211.0,36.0,host,67.0,0,Fox News,Hannity,2017-01-18
91,GORKA, Absolutely.,2,12.0,2.0,guest,68.0,0,Fox News,Hannity,2017-01-18
92,HANNITY," ... The New York Times, WikiLeaks, the people that published this information?",2,79.0,13.0,host,69.0,0,Fox News,Hannity,2017-01-18
93,GORKA," Well, it should. I mean, absolutely. There's a -- but look, there's the question, the technical question of you have a clearance, you have sworn to protect that information and you go against that. So that's just a legal issue. You should serve the time that has been sentenced to you. There's the other issue, which is what damage does it do to America? What does it do to our friends, our allies? What is the cost? Every time this happens, the FBI, the DOJ, the given agency has to do an impact assessment.  What has this meant for the safety of Americans? And with a million pages- plus, it's horrific to consider what this man was responsible for.",2,652.0,120.0,guest,70.0,0,Fox News,Hannity,2017-01-18
94,HANNITY," Last question. I know we've got to balance liberty, freedom, freedom of the press, the right of the people in this country to know -- do you think our government under the Obama years has been too secretive?",2,208.0,39.0,host,71.0,0,Fox News,Hannity,2017-01-18
95,GORKA," Great question. The mainstream media has basically facilitated a secret war. Think about how many drone strikes -- Obama has used more in the first year of his presidency than George W. Bush did in his two terms!  But who reports about it? Who reports about the fact that we're bombing at one time six nations. Nobody reports about it. And Sean, do you remember Gulf one? Do you remember the second Gulf war?  Do you remember the embedded journalist? We have journalists right there on the front line with all the units. What happened to the embedded journalists? Why don't they want to report about what Obama is doing?",2,621.0,111.0,guest,72.0,0,Fox News,Hannity,2017-01-18
96,HANNITY," All right, Dr. Gorka, always good to see you, sir. Thank you. And up next tonight right here on ""Hannity""...",2,109.0,21.0,host,73.0,0,Fox News,Hannity,2017-01-18
97,,(BEGIN VIDEO CLIP),2,,,,,0,Fox News,Hannity,2017-01-18
98,TRUMP," Many of the celebrities that are saying they're not going, they were never invited. I don't want the celebrities, I want the people.",2,133.0,24.0,guest,74.0,1,Fox News,Hannity,2017-01-18
99,,(END VIDEO CLIP),2,,,,,1,Fox News,Hannity,2017-01-18
100,HANNITY," President-elect Donald Trump tells Ainsley Earhardt that he doesn't care that celebrities are skipping his inauguration. Now, this as the list of Democratic lawmakers boycotting Friday's events continues to grow. Up next, we get reaction from Laura Ingraham. And then later, ""Special Report""' Bret Baier is here with us. That's straight ahead.",2,344.0,53.0,host,75.0,0,Fox News,Hannity,2017-01-18
101,,(COMMERCIAL BREAK),2,,,,,0,Fox News,Hannity,2017-01-18
102,,(BEGIN VIDEO CLIP),3,,,,,0,Fox News,Hannity,2017-01-18
103,TRUMP," Many of the celebrities that are saying they're not going, they were never invited. I don't want the celebrities, I want the people.",3,133.0,24.0,guest,76.0,1,Fox News,Hannity,2017-01-18
104,,(END VIDEO CLIP),3,,,,,1,Fox News,Hannity,2017-01-18
105,HANNITY," That was President-elect Donald Trump addressing the Hollywood snowflakes who are boycotting his inauguration. But there's more. Over 60 Democratic members of Congress are not attending, either. Earlier today, President Obama -- he was asked about the dozens of lawmakers who are refusing to attend Friday's events. Take a look.",3,329.0,51.0,host,77.0,0,Fox News,Hannity,2017-01-18
106,,(BEGIN VIDEO CLIP),3,,,,,0,Fox News,Hannity,2017-01-18
107,OBAMA," With respect to the inauguration, I'm not going to comment on those issues. All I know is I'm going to be there. So is Michelle. And I have been checking the weather and I'm heartened by the fact that it won't be as cold as my first inauguration.",3,247.0,49.0,guest,78.0,1,Fox News,Hannity,2017-01-18
108,,(END VIDEO CLIP),3,,,,,1,Fox News,Hannity,2017-01-18
109,HANNITY," All right, joining us now with reaction, editor-in-chief of Lifezette, Fox News contributor, nationally syndicated radio host, potential Senate candidate from the commonwealth of Virginia -- I'm pushing this, by the way. I'm your first...",3,239.0,36.0,host,79.0,0,Fox News,Hannity,2017-01-18
110,"LAURA INGRAHAM, FOX NEWS CONTRIBUTOR"," Oh, thanks, Hannity.",3,21.0,4.0,guest,80.0,0,Fox News,Hannity,2017-01-18
111,HANNITY, I'm your first official endorser.,3,34.0,6.0,host,81.0,0,Fox News,Hannity,2017-01-18
112,INGRAHAM, I love it.,3,11.0,4.0,guest,82.0,0,Fox News,Hannity,2017-01-18
113,HANNITY, Imagine if this happened eight years ago.,3,42.0,8.0,host,83.0,0,Fox News,Hannity,2017-01-18
114,INGRAHAM," Oh, my gosh.",3,13.0,4.0,guest,84.0,0,Fox News,Hannity,2017-01-18
115,HANNITY, What would have...,3,19.0,4.0,host,85.0,0,Fox News,Hannity,2017-01-18
116,INGRAHAM," That would -- Sean, if this happened eight years ago, the conservative protesters who weren't participating would be called un-American, disrespectful, attempting to delegitimize the first African- American president. You could say this is the first nonpolitical president we've had in a long time, the first businessman of his nature to be president. It's historic in its own way. It was a surprise victory to a lot of people. It caught the pundit class by storm and by surprise. And so there's so much to be celebrated by this -- about this inauguration.  And yet the press is spending all this time focusing on the march for women or the protesters who are banging the garbage cans outside of the Trump international hotel. But if it were the other way around, the protesters would be demonized and themselves delegitimized by the press.",3,841.0,143.0,guest,86.0,0,Fox News,Hannity,2017-01-18
117,HANNITY," Remember the way the characterized Tea Party members? This is coming from the top of the Democrat Party. Senator Schumer, the leaders of the Democrats in the Senate, saying he respects boycotters. And by the way, Russia interfered with the election. Debbie Wasserman-Schultz, not to be outdone, exact same talking point. Maxine Waters, exact same talking point. So in spite of no evidence that shows this election was impacted in any way they continue to try and I guess delegitimize Trump. Does it have any impact?",3,516.0,87.0,host,87.0,0,Fox News,Hannity,2017-01-18
118,INGRAHAM," I don't get does it all. I think it's unfortunate for them.  They're not creating a single job or helping a single minority in the inner city with this action. They are probably raising a little bit of money off of it, Sean. And going back to that press conference that Obama had today, his final press conference, he referenced the organizing and the activism a number of times. This battle goes on. And he referenced, we haven't won all the battles. He mentioned the battle for transgender rights and other points about income inequality. So he was calling everybody to a greater sense of activism on the left as he of course is going to attend, as one would expect, the inauguration himself.",3,695.0,125.0,guest,88.0,0,Fox News,Hannity,2017-01-18
119,HANNITY," Assuming that Donald Trump is going to keep his promises, I see everything is going to be a fight. The Supreme Court nominee, fight.  Reducing the corporate tax rate, repatriation tax lowered to 10 percent to bring money, jobs to America, that's going to be a fight. Building the wall, fight. Vetting refugees, fight. Repealing Obamacare, we saw Tom Price today, fight. Education back to the states, fight.",3,407.0,69.0,host,89.0,0,Fox News,Hannity,2017-01-18
120,INGRAHAM," Oh, big time.",3,14.0,4.0,guest,90.0,0,Fox News,Hannity,2017-01-18
121,HANNITY, Do you think or have confidence in the Republican Congress to stand by the Trump agenda? Because I'm not sure I do.,3,116.0,23.0,host,91.0,0,Fox News,Hannity,2017-01-18
122,INGRAHAM," I think your instincts here are right. I think we saw a little bit of that with Rubio on the Tillerson questioning. But you've heard hints of this with Paul Ryan, even though I think he does want to work with the president on a number of points. There are interesting things going on with the budget reconciliation. I know it sounds boring to people, but what president-elect Trump and his team can do on the edges of budget reconciliation, they could miss a big opportunity if they don't play that right. Paul Ryan understands what you can do with the reconciliation process. And I hope the Trump team understands just how much they can accomplish just by using that mechanism. So they've got to be very careful and very wily with how they deal with the Republican leadership on Capitol Hill.",3,794.0,143.0,guest,92.0,0,Fox News,Hannity,2017-01-18
123,HANNITY," So Trump will have the Republican establishment, Democratic establishment, media establishment against him. Do they eventually get him?",3,136.0,19.0,host,93.0,0,Fox News,Hannity,2017-01-18
