,speaker,text,segment,number_of_letters,number_of_words,speaker_type,speech_order,tape,network,show,show_date
10,"LT. GEN. H.R. MCMASTER, NATIONAL SECURITY ADVISOR"," Thank you, Chris. It's a pleasure to be with you. ",1,51.0,12.0,guest,9.0,0,Fox News,Fox News Sunday,2017-04-09
11,WALLACE," The Trump administration seems to be sending mixed signals this weekend. U.N. Ambassador Nikki Haley says that getting rid of Assad is a priority. On the other hand, Secretary of State Tillerson says that first, we have to get rid of ISIS, destroy ISIS, Assad can wait.  So, which is it? How does the president see this playing out in Syria? ",1,343.0,64.0,host,10.0,0,Fox News,Fox News Sunday,2017-04-09
12,MCMASTER," Well, both Secretary Tillerson and Ambassador Haley are right about this. What we really need to do, and what everyone who's involved in this conflict needs to do is to do everything they can to resolve this civil war, to halt this humanitarian catastrophe, this political catastrophe, not only in Syria, but the catastrophe is affecting the greater Middle East, it's affecting Europe and it's a threat to the American people as well.  And so, to do that, what's required is some kind of a political solution to that very complex problem. And what Ambassador Haley pointed out is it's very difficult to understand how a political solution could result from the continuation of the Assad regime.  Now, we are not saying that we are the ones who are going to affect that change. What we are saying is, other countries have to ask themselves some hard questions. Russia should ask themselves, what are we doing here? Why are we supporting this murderous regime that is committing mass murder of its own population and using the most heinous weapons available?  So, I think that while people are really anxious to find -- to find inconsistencies in the statements, they are in fact very consistent in terms of what is the ultimate political objective in Syria. ",1,1258.0,220.0,guest,11.0,0,Fox News,Fox News Sunday,2017-04-09
13,WALLACE, I understand that that's the ultimate political objective. But Secretary Tillerson said destroying ISIS must come first. You don't seem to be saying that. ,1,156.0,26.0,host,12.0,0,Fox News,Fox News Sunday,2017-04-09
14,MCMASTER," No, that's exactly what we are saying. We have seen what ISIS does, right, how ISIS brutalize these people, how ISIS has now established control of territory and populations and resources and grown in strength and is threat to all civilized peoples. So, we are conducting very effective operations alongside our partners in Syria and in Iraq to defeat ISIS, to destroy ISIS and reestablish control of that territory, control of those populations, protect those populations, allow refugees to come back, begin reconstruction and allow the resources -- ",1,552.0,90.0,guest,13.0,0,Fox News,Fox News Sunday,2017-04-09
15,,(CROSSTALK),1,,,,,0,Fox News,Fox News Sunday,2017-04-09
16,WALLACE," But, sir, I’m just trying to clear this up -- is it two separate tracks at the same time or does ISIS have to happen first before we and the international community moved to depose Assad? ",1,189.0,38.0,host,14.0,0,Fox News,Fox News Sunday,2017-04-09
17,MCMASTER," Well, I think as you saw with the strike, that there has to be a degree of simultaneous activity as well as sequencing of the defeat of ISIS first. What you have in Syria is a very destructive cycle of violence perpetuated by ISIS, obviously, but also by this regime and their Iranian and Russian sponsors. And so, what we have to be able to do is to work together with our allies and partners to help resolve this conflict and the resolution of the conflict will tell each of the elements that you are talking about, Chris, the defeat of ISIS, and then also, it has to be a significant change in the nature of the Assad regime and its behavior in particular. ",1,661.0,126.0,guest,15.0,0,Fox News,Fox News Sunday,2017-04-09
18,WALLACE," But let me ask you a question, sir, which may clarify this, because as Kristin Fisher reported, Syrian warplanes are already using that same base that you and the U.S. forces hit Thursday night and they are reportedly again bombing that same town in northern Syria, but only this time with conventional weapons, not chemical. The question is, if Assad continues killing babies only with conventional weapons, not chemical, will this president stop that, or will President Trump say he's going to do nothing, stand aside? ",1,522.0,88.0,host,16.0,0,Fox News,Fox News Sunday,2017-04-09
19,MCMASTER," Well, I think what's important to remember is, our objective -- our objective was to deter the continued use, because there's been a pattern of the abuse of chemical weapons by the Assad regime and his mass murder attacks against innocent civilians. That was the objective.  And I think Ambassador Haley, Secretary Tillerson -- everyone has confirmed that we are prepared to do more. In fact, we are prepared to do more. In fact, we are prepared to more two days ago as well.  And so, what's significant about the strike is not that it was meant to take out the Syrian regime's capacity or ability to commit mass murder of its own people, but it was to be a very strong signal to Assad and his sponsors that the United States cannot stand idly by as he is murdering innocent civilians -- what was a redline in 2013. And so, that was the important objective to keep in mind here.  The other significant thing about this though -- ",1,930.0,174.0,guest,17.0,0,Fox News,Fox News Sunday,2017-04-09
20,,(CROSSTALK),1,,,,,0,Fox News,Fox News Sunday,2017-04-09
21,WALLACE," He is continuing the mass murder. So, the question is, if he uses conventional weapons, is President Trump prepared to stop him from using conventional weapons to slaughter innocent civilians? ",1,194.0,32.0,host,18.0,0,Fox News,Fox News Sunday,2017-04-09
22,MCMASTER," Well, I think with this president -- what we have is someone was helping us understand helping us provide him with an assessment of what is the degree of agency and control we have over this very complex situation. The president has, in response to a mass murder attack, acted decisively.  And if they're using that airfield, that's -- I mean, that’s not what the objective was, to take out the airfield forever. The objective was to send a very strong political message to Assad. And this is -- this is very significant I think because I think everyone should realize this is the first time the United States has acted directly against the Assad regime, and that should be a strong message to Assad and to his sponsors who are enabling his campaign of mass murder against his own civilians. ",1,793.0,144.0,guest,19.0,0,Fox News,Fox News Sunday,2017-04-09
23,WALLACE," So, there is a possibility that President Trump, you are saying -- leaving it wide open that he will act against President Assad if he goes against civilians no matter what weapon he uses?",1,189.0,35.0,host,20.0,0,Fox News,Fox News Sunday,2017-04-09
24,MCMASTER," Well, the president will make whatever decision he thinks is in the best interest of the American people, and it will be our job to provide him with options based on how we see this conflict evolve in this period of time before us, after the strike. And what we're doing now is working with our partners, our allies, everyone, except Russia and Iran, who are somehow continue to think that it's OK to be aligned with his murderous regime.  We are working with our parties and allies to magnify the effects of this strike to -- and then to build momentum toward ultimately resolving the civil war, defeating ISIS and bringing the peace and security back to this region and to the Syrian people. ",1,695.0,128.0,guest,21.0,0,Fox News,Fox News Sunday,2017-04-09
25,WALLACE," Let me bring in -- you mentioned Russia. Russia has sent, as Kristin Fisher reported, has sent a warship into the Mediterranean. And over the weekend, the prime minister of Russia, Medvedev, wrote, the U.S. is, quote, ""on the verge of a military clash with Russia.""  Sir, what are we prepared to do if Russia defends its interests in Syria? ",1,342.0,63.0,host,22.0,0,Fox News,Fox News Sunday,2017-04-09
26,MCMASTER," Well, this is part of the problem with Syria is Russia's sponsorship for this murderous regime.  And if we would want to appeal rationally to Russia, this is a great opportunity for the Russian leadership to reevaluate what they’re doing. Why they are supporting a regime that is committing mass murder against its own people. And so, Russia could be part of the solution. Right now, I think everyone in the world sees Russia as part of the problem. ",1,451.0,82.0,guest,23.0,0,Fox News,Fox News Sunday,2017-04-09
27,WALLACE, Was Russia involved? Do we have evidence that they were involved in the chemical attack? ,1,90.0,17.0,host,24.0,0,Fox News,Fox News Sunday,2017-04-09
28,MCMASTER," Well, I think what we should do is ask Russia -- how could it be, if you have advisors at that airfield, that you didn't know that the Syrian air force was preparing and executing a mass murder attack with chemical weapons? I think we ought to ask them a question. ",1,266.0,53.0,guest,25.0,0,Fox News,Fox News Sunday,2017-04-09
29,WALLACE," President Trump, as you well know, talk to during the campaign and since about trying to establish an alliance with Vladimir Putin and he indicated that there was some kind of moral equivalence between the two nations.  Here he is. ",1,233.0,43.0,host,26.0,0,Fox News,Fox News Sunday,2017-04-09
30,,(BEGIN VIDEO CLIP),1,,,,,0,Fox News,Fox News Sunday,2017-04-09
31,TRUMP, Will I get along with him? I have no idea. ,1,44.0,12.0,guest,27.0,1,Fox News,Fox News Sunday,2017-04-09
32,"BILL O’REILLY, FOX NEWS HOST"," He's a killer, though. Putin is a killer. ",1,43.0,10.0,guest,28.0,1,Fox News,Fox News Sunday,2017-04-09
33,TRUMP, There are a lot of killers. We've got a lot of killers. Why? You think our country is so innocent? ,1,100.0,22.0,guest,29.0,1,Fox News,Fox News Sunday,2017-04-09
34,,(END VIDEO CLIP),1,,,,,1,Fox News,Fox News Sunday,2017-04-09
35,WALLACE," General, what is our relationship with Russia and Putin today? ",1,64.0,12.0,host,30.0,0,Fox News,Fox News Sunday,2017-04-09
36,MCMASTER," Well, today, it can be whatever the Russians want it to be. Do they want it to be a relationship of competition and potential conflict? I don't see how that's in Russian interest. Or do they want it to be where a relationship in which we can find areas of cooperation that are -- that are in our mutual interest?  How is it in anyone's interest that this conflict in Syria and this catastrophe in the greater Middle East continue?  And they can be part of the solution or they can continue what has been really a very sophisticated campaign of subversion against Western interests and a campaign of subversion and intervention on behalf of a murderous regime in the Middle East.  And so, I think this is what our secretary of state will be exploring with the Russian leadership this week and the president is determined to do everything he can to advance American interests. And if that entails working with others to come to solutions in the world that enhance our security, the president will do that. And it's really now up to the Russian leadership to reevaluate what they are doing in the Middle East. ",1,1108.0,203.0,guest,31.0,0,Fox News,Fox News Sunday,2017-04-09
37,WALLACE," I want to turn -- this all overshadowed the fact that the missile strike happened in the midst of a summit between President Trump and Chinese President Xi. And during dinner, the president told President Xi about the attack. Did President Xi give any indication that he now takes President Trump statement more seriously that if China doesn't act to stop North Korea's nuclear program, that he, President Trump, will? Did you get the sense that they were taking that more seriously, and also we learned this morning that a U.S. carrier strike force is on its way to the Korean Peninsula, why? ",1,595.0,105.0,host,32.0,0,Fox News,Fox News Sunday,2017-04-09
38,MCMASTER," Well, it is such a privilege to be part of this national security team and help enable this team for the president as national security advisor. It's really extraordinary. I think the degree of concurrent activity that was going on this week and nobody really even broke a sweat over it. I mean, we have extraordinarily competent people in these positions who are providing the president with options and then can -- then have this amazing military that we have that can execute those decisions of the president flawlessly.  And so, it was, I think, maybe a bit surprising to the guests here about how really no one was really even stressed out or anything about the need to conduct this operation in the wake of this murderous attack. And I think the summit was extremely successful, because it met the first objective, which is to allow the president and Premier Xi to build a relationship that they can use to identify areas of cooperation and to advance really our mutual interests, but American interest in particular. These are key areas. ",1,1046.0,184.0,guest,33.0,0,Fox News,Fox News Sunday,2017-04-09
39,WALLACE," And I’m running out of time. So, I’ve got to ask you sort of lightning round -- quick questions, quick answers.  Why the carrier strike force to the Korean Peninsula? ",1,168.0,33.0,host,34.0,0,Fox News,Fox News Sunday,2017-04-09
40,MCMASTER," Well, it’s prudent to do it, isn't it? I mean, North Korea has been engaged in a pattern of provocative behavior. This is -- this is a rogue regime that is now a nuclear capable regime, and President Xi and President Trump agreed that that is unacceptable, that what must happen is the denuclearization of the Korean Peninsula. And so, the president has asked to be prepared to give him a full range of options to remove that threat the American people and to our allies and partners in the region. ",1,500.0,93.0,guest,35.0,0,Fox News,Fox News Sunday,2017-04-09
41,WALLACE," Finally, you know, you’ve got China, you’ve got Syria, you’ve got Russia, but a lot of people in Washington are talking about relations inside the White House -- welcome to the D.C. politics, General McMaster -- why did you push for Steve Bannon to be taken off the principals committee of the National Security Council? ",1,322.0,57.0,host,36.0,0,Fox News,Fox News Sunday,2017-04-09
42,MCMASTER," Well, this is not as significant as it appears, I think. But I think what the president was making clear that he is going -- in terms of permanent membership of National Security Council -- have those permanent members who are for every meeting, every official meeting of the National Security Council, to be those who will give him their advice on the long-term interests of the American people.  And so, really, though, you know, it depends -- the president can get advice from anybody he wants, and he does that. He asked a broad range of people who he trusts, and Steve Bannon is one of them, about policy decisions and about the risks and opportunities involved with each of these. So, none of that has changed. ",1,718.0,131.0,guest,37.0,0,Fox News,Fox News Sunday,2017-04-09
43,WALLACE, But do you think it was inappropriate to have a political advisor in that role? ,1,81.0,17.0,host,38.0,0,Fox News,Fox News Sunday,2017-04-09
44,MCMASTER," Well, no, I think what is appropriate is to have in that role -- whoever the president wants in that role. And there -- and Steve Bannon provides the president with advice on a broad range of issues and will continue to do so. ",1,228.0,46.0,guest,39.0,0,Fox News,Fox News Sunday,2017-04-09
45,WALLACE," General McMaster, thank you. We covered a long-range of issues today. Thank you for your time, sir, and we’ll follow what happens next in Syria and around the world. ",1,167.0,31.0,host,40.0,0,Fox News,Fox News Sunday,2017-04-09
46,MCMASTER," Thanks, Chris. It was a pleasure to be with you. Thank you. ",1,61.0,14.0,guest,41.0,0,Fox News,Fox News Sunday,2017-04-09
47,WALLACE, Coming up: should Congress have had a say before the U.S. missile attack? Demand from both sides: the president consult them before he acts again. Two leading senators join us next.,1,182.0,32.0,host,42.0,0,Fox News,Fox News Sunday,2017-04-09
48,,(COMMERCIAL BREAK),1,,,,,0,Fox News,Fox News Sunday,2017-04-09
49,WALLACE," Just as President Trump launched that missile attack in Syria, Senate Republicans employed the nuclear option to confirm Neil Gorsuch to the Supreme Court.  Joining us now: two Senate leaders to discuss both developments. From Austin, Texas, the number two Republican in the Senate, John Cornyn, and here in Washington, Ben Cardin, the top Democrat on the Foreign Relations Committee.  Senator Cardin, you just heard the president's national security advisor, General McMaster. Are you satisfied that they have a clear plan for how to proceed in Syria? ",2,554.0,91.0,host,43.0,0,Fox News,Fox News Sunday,2017-04-09
50,"SEN. BEN CARDIN, D-MARYLAND"," Not at all. I don’t -- I don't think he articulated a Syrian strategy. What we saw was a reaction to the use of chemical weapons, something I think many of us supported. But what we did not see is a coherent policy on how we’re going to deal with the civil war and also deal with ISIS. ",2,287.0,60.0,guest,44.0,0,Fox News,Fox News Sunday,2017-04-09
51,WALLACE," I want to ask you about that, as well, Senator Cornyn, because as I said, there were these mixed messages that have come out this weekend from the administration. Haley is talking about deposing Assad, Tillerson talking about taking out ISIS first. Do you have a clear sense of what the administration's policy is? ",2,316.0,56.0,host,45.0,0,Fox News,Fox News Sunday,2017-04-09
52,"SEN. JOHN CORNYN, R-TEXAS"," Well, first and foremost, I think it's to send a message to Assad and to the Russians, the Iranians and North Koreans that there's a new administration in charge of our national security policy. I applaud the president for doing what he did to enforce that red line that President Obama drew three years ago, but did nothing to enforce.  But I think that, along with my friend, Ben Cardin, Congress needs to work with the president to try and deal with this long-term strategy, lack of strategy, really, in Syria. We haven't had one for six years during the Obama administration, and the 400,000 civilians have died and millions of people have been displaced internally and externally in Europe and elsewhere.  So, we definitely need a strategy. We need to work with the White House to come up with one that has bipartisan support. ",2,833.0,149.0,guest,46.0,0,Fox News,Fox News Sunday,2017-04-09
53,WALLACE," Well, let's talk about that, because while most senators, including the two of you, I think supported this particular strike under these specific circumstances, there was concern from both sides of the aisle about whether President Trump gets more deeply involved, whether or not he needs authorization from Congress to do so.  Here was Democratic Leader Chuck Schumer this week. ",2,381.0,63.0,host,47.0,0,Fox News,Fox News Sunday,2017-04-09
54,,(BEGIN VIDEO CLIP),2,,,,,0,Fox News,Fox News Sunday,2017-04-09
55,"SEN. CHUCK SCHUMER, D-NY, SENATE MINORITY LEADER"," It is now, however, incumbent on the Trump administration to come up with a coherent strategy and consult with Congress before implementing it. ",2,145.0,25.0,guest,48.0,1,Fox News,Fox News Sunday,2017-04-09
56,,(END VIDEO CLIP),2,,,,,1,Fox News,Fox News Sunday,2017-04-09
57,WALLACE," Senator Cornyn, is Schumer right? Does the White House need approval from Congress if it's going to get more deeply involved in Syria? ",2,136.0,25.0,host,49.0,0,Fox News,Fox News Sunday,2017-04-09
58,CORNYN," Well, under the War Resolutions Act, which the president sent a letter pursuant to that act yesterday explaining his actions, it is required, and I think it also makes good sense. Before we commit our military and our men and women in uniform to any sort of conflict, they deserve the support of Congress on a bipartisan basis, as well as the support of the American people. So, that's why that sort of consultation and advice is so important. ",2,445.0,81.0,guest,50.0,0,Fox News,Fox News Sunday,2017-04-09
59,WALLACE," Senator Cardin, let me pick up on this with you, because President Obama and now President Trump both authorized widespread force across the Middle East based on an approval that was given by Congress right after 9/11. This is 15 years later. Does that cover moving against the Assad regime or does the president made new approval? And an important question, because as we remember, when President Obama went to Congress back in 2013 to enforce the red line, it was clear Congress wasn't going to approve it. Do you think if the president went to Congress now, that Democrats, Republicans would pass resolutions supporting the use of force to depose Bashar Assad? ",2,665.0,115.0,host,51.0,0,Fox News,Fox News Sunday,2017-04-09
60,CARDIN," Chris, you asked a couple of questions. First, in regards to the 2001 authorization, it's been interpreted by the Obama administration, I assume also the Trump administration, to cover the use of force against ISIS in Syria. Many of us disagree with that and believe Congress should pass a separate resolution dealing with ISIS, that we shouldn’t be using the 9/11 resolution for that purpose.  In regards of going against Assad-Syria, there is no congressional authorization. There is no authority to use force. The president has some inherent Article 2 to powers, but as he consulted with us by notice on this attack, it's incumbent upon him to consult with Congress. And if there's going to be a use of force on a continuing basis, he needs the authorization. ",2,764.0,132.0,guest,52.0,0,Fox News,Fox News Sunday,2017-04-09
61,WALLACE," And do you think the House and Senate, Democrats as well as Republicans, would authorize the use of force? ",2,108.0,21.0,host,53.0,0,Fox News,Fox News Sunday,2017-04-09
62,CARDIN," I think it depends upon seeing a plan from the president on Syria that can get the support of Congress and then how force is used as part of implementing that strategy. We have neither. We have -- we don’t have overall strategy, and we don't have the request for use of force. ",2,278.0,55.0,guest,54.0,0,Fox News,Fox News Sunday,2017-04-09
63,WALLACE," Well, there was another big story this week, and I want to address that with both of you now, and that was, the Senate Republicans invoking the nuclear option, changing the rules of the Senate to confirm Neil Gorsuch as the next justice to the Supreme Court. Here was that moment in the Senate. ",2,296.0,56.0,host,55.0,0,Fox News,Fox News Sunday,2017-04-09
64,,(BEGIN VIDEO CLIP),2,,,,,0,Fox News,Fox News Sunday,2017-04-09
65,"MIKE PENCE, VICE PRESIDENT OF THE UNITED STATES", The nomination of Neil M. Gorsuch of Colorado to be an associate justice of the Supreme Court of the United States is confirmed. ,2,130.0,25.0,guest,56.0,1,Fox News,Fox News Sunday,2017-04-09
66,,(END VIDEO CLIP),2,,,,,1,Fox News,Fox News Sunday,2017-04-09
67,WALLACE," Senator Cornyn, I want to talk -- there's been enough about why this happened and Merrick Garland and Gorsuch, and all of that. I want to talk about the impact of this going forward -- doesn't this ensure that the next time the president gets an opening, if his party controls the Senate, that he’s going to appoint somebody even more ideological, even more to the extreme, if you will, wing of his base because he doesn't have to worry about getting bipartisan support, doesn't have to worry about reaching out to the other party? ",2,533.0,97.0,host,57.0,0,Fox News,Fox News Sunday,2017-04-09
68,CORNYN," Well, Chris, this is really a restoration of the status quo before the George W. Bush administration, when there was no such thing as filibustering judges, particular judges on the Supreme Court. Clarence Thomas got 52 votes when he was confirmed. One senator could have required 60 votes under the theory that basically was developed under Chuck Schumer and Democratic leadership to the George Bush administration.  But I think there is no danger of that happening. What it means is when we elect the president, we know that they’re going to be the ones who get to nominate judges. And they’re going to get support for that, at least 51 votes. But here, Judge Gorsuch got bipartisan support, 54 votes in the Senate, for his confirmation and he deserves -- he deserved it. ",2,774.0,136.0,guest,58.0,0,Fox News,Fox News Sunday,2017-04-09
69,WALLACE," Senator Cardin, I want to ask about the strategy here. And I know there were some Democrats who said, maybe we shouldn't filibuster Gorsuch because the thought was, well, then, the fact that we haven't done it will lead President Trump to nominate, if there is a number opening, someone more moderate.  Have you made a strategic mistake here in the sense that now, President Trump knows I can nominate anyone -- almost anyone I want and get 51 votes, a bare majority of the Senate, and they’ll get through? ",2,508.0,93.0,host,59.0,0,Fox News,Fox News Sunday,2017-04-09
70,CARDIN," Well, John Cornyn is my friend, and I mean that, but we disagree on this issue. I think damage has been done in the future nominees for the Supreme Court. I think damage has been done to the Senate as an institution, which is important for our country. I think that -- ",2,270.0,54.0,guest,60.0,0,Fox News,Fox News Sunday,2017-04-09
71,WALLACE," But didn’t you do some of the damage? I don’t mean you, but the Democrats, by filibustering? ",2,94.0,19.0,host,61.0,0,Fox News,Fox News Sunday,2017-04-09
72,CARDIN," Both the Democrats and Republicans have blame here. Both Democrats and Republicans have handled things in a way that shouldn’t have been done. We should change our rules by bipartisan. We shouldn't change the rules to accomplish a purpose.  And this has been going on. The ultimate filibuster was Merrick Garland's filibuster when he didn't even get a hearing or vote in the United States Senate by less than a majority of the U.S. senators holding him up. So, we've seen this go back to when President Obama’s first year for second term, Republicans said we’re not going to confirm any more court of appeals for the district court. ",2,634.0,112.0,guest,62.0,0,Fox News,Fox News Sunday,2017-04-09
73,WALLACE, And you invoke the nuclear option. ,2,36.0,8.0,host,63.0,0,Fox News,Fox News Sunday,2017-04-09
74,CARDIN," We did. So, we've seen this pattern. You see more filibusters for judicial nominees by the Republicans under President Obama than we saw in the whole history of the United State Senate. Both sides have blame here. ",2,215.0,39.0,guest,64.0,0,Fox News,Fox News Sunday,2017-04-09
75,WALLACE," All right. I want to get into one last subject with both of you and the time we have left. When you get back from this two-week recess that you're taking, we’re going to have less than one week to pass the spending bill. If you failed to do so, the government is going to shut down.  Senator Cardin, if the White House insist, as they are at this point about including funding for building that wall along the southern border, for having sharp domestic spending cuts in order to offset a defense spending increase, will you block that even if it means the government shutdown? ",2,578.0,109.0,host,65.0,0,Fox News,Fox News Sunday,2017-04-09
76,CARDIN," Well, first, I’m not sure the president has the majority of the United States Senate that will support funding a wall, because I talked to enough Republicans to know, and they’ve said it publicly, that’s a waste of money and it's counterproductive. So, I think the Senate will carry out its will and hopefully provide no money, no taxpayer money for building a wall. ",2,368.0,66.0,guest,66.0,0,Fox News,Fox News Sunday,2017-04-09
77,WALLACE," But to answer my direct question: if a choice between putting money in for the wall, having those domestic spending cuts, would you go for a shutdown? ",2,152.0,29.0,host,67.0,0,Fox News,Fox News Sunday,2017-04-09
78,CARDIN," I want to see government -- I don't want to see a government shutdown. I’m willing to make compromises in order to keep government functioning. But we have to take a look at their trade-offs. So, I can't answer that, in fact, until I see everything that’s in the bill. ",2,270.0,52.0,guest,68.0,0,Fox News,Fox News Sunday,2017-04-09
79,WALLACE," Senator Cornyn, are those issues that I just mentioned, worth shutting down the government or would you support leaving some of them out in order to keep the government functioning? ",2,183.0,32.0,host,69.0,0,Fox News,Fox News Sunday,2017-04-09
80,CORNYN," I think this is a test for the new Democratic leader, Senator Chuck Schumer, as well as the administration. They’re going to be the ones ultimately who negotiate this. But there’s not going to be a shutdown. I’m confident that we’ll come up with something that everybody can live with. ",2,287.0,52.0,guest,70.0,0,Fox News,Fox News Sunday,2017-04-09
81,WALLACE," Senator Cornyn, Senator Cardin, thank you both. Thanks for joining us today. Thanks for your time.",2,99.0,17.0,host,71.0,0,Fox News,Fox News Sunday,2017-04-09
82,CARDIN," Thanks, Chris.",2,15.0,3.0,guest,72.0,0,Fox News,Fox News Sunday,2017-04-09
83,WALLACE," Next up, we’ll bring in our Sunday group to discuss President Trump's military strike, the Gorsuch vote and drama inside the White House.  Plus, what would you like to ask the panel about the decision to hit Syria? What does it mean for the president's foreign policy? Just go to Facebook or Twitter @foxnewssunday and we may use your question on the air. ",2,357.0,66.0,host,73.0,0,Fox News,Fox News Sunday,2017-04-09
84,,(COMMERCIAL BREAK),2,,,,,0,Fox News,Fox News Sunday,2017-04-09
85,WALLACE," Coming up, Senate Republicans invoked the nuclear option and confirm President Trump’s nominate, Neil Gorsuch, to the Supreme Court. ",3,134.0,21.0,host,74.0,0,Fox News,Fox News Sunday,2017-04-09
86,,(BEGIN VIDEO CLIP),3,,,,,0,Fox News,Fox News Sunday,2017-04-09
87,UNIDENTIFIED MALE, I think it's a good day for the Senate and a great day for the country. ,3,73.0,18.0,guest,75.0,1,Fox News,Fox News Sunday,2017-04-09
88,,(END VIDEO CLIP),3,,,,,1,Fox News,Fox News Sunday,2017-04-09
89,WALLACE," We’ll ask our Sunday panel how the GOP action will affect future openings on the high court, next. ",3,100.0,20.0,host,76.0,0,Fox News,Fox News Sunday,2017-04-09
90,,(COMMERCIAL BREAK),3,,,,,0,Fox News,Fox News Sunday,2017-04-09
91,,(BEGIN VIDEO CLIP),4,,,,,0,Fox News,Fox News Sunday,2017-04-09
92,TRUMP," When you kill innocent children, innocent babies, babies, little babies, with a chemical gas that is so lethal, people were shocked to hear what gas it was, that crosses many, many lines, beyond a red line. Many, many lines. ",4,226.0,41.0,guest,77.0,1,Fox News,Fox News Sunday,2017-04-09
93,,(END VIDEO CLIP),4,,,,,1,Fox News,Fox News Sunday,2017-04-09
94,WALLACE," President Trump explaining a sudden change in his policy towards the Assad regime just one day before ordering a strike on a Syrian air base.  And it's time now for our Sunday group. Bill Kristol from The Weekly Standard, Fox News political analyst and columnist for The Hill, Juan Williams, Mo Elleithee of Georgetown University's Institute of Politics and Public Service, and Washington Examiner contributor Lisa Boothe.  Phil, you heard General McMaster, the national security advisor, at the top of the show. Are you satisfied that this administration has a clear strategy for going forward in Syria particularly the question I asked, which was, is this just about chemical weapons or is the president prepared to act if there's just, by conventional means, the slaughter of civilians? ",4,791.0,131.0,host,78.0,0,Fox News,Fox News Sunday,2017-04-09
